song_id,country,Number_of_times
BKUbG/6eHYI8GBAlcXS0nUKKTA==,FR,17049
Bdjrta8bgEGYQl4wDA4ab2mmQA==,FR,16316
CNS+oaur3dDTIqYugDzPRqbMQg==,FR,16184
BuN1OQ9UPNkP2BB9I/CkCvowrQ==,FR,15269
A3icmD0fQuOl+xLvrOV9niUmwA==,FR,15263
B4gWYRBgMjPWrexHfqiTdvVI2Q==,FR,14398
AKlYlWcABFmDuOQD30qEP/xMUw==,FR,14159
At9OrATRSU6DJ82FBkbGk2hy3w==,FR,14098
BjiKq+qLWDoFwVJvCiHDpH+bOg==,FR,14007
AqE4c4ESPVbml995GI60KbusKw==,FR,13930
AYKqNzx2n77MqAUc1F3x/vmKKQ==,FR,13524
BK/Ug39V0CPMbyR0vPCMQtNqMg==,FR,13394
BbIA9Fw8zC5ozRgPQKq97uEOVA==,FR,12688
BRKfefZrppwuU4YKNs9rH65hbQ==,FR,12413
Bnd+qNe8EoY7nMihV/pPLTUvTg==,FR,12325
AhoFkmWFtiTrRENrVXwCq2W30w==,FR,12098
CM3ttw1ZXH9Awtadb3Q4qLU37g==,FR,11610
CS9q0bIPoJOPltNqg6UfYKG/ng==,FR,11465
AQ1ZxgapwtOHG9l9caQ3hXMCwQ==,FR,11457
CtKoxUYK9DLjxCM6h0aQRv//uQ==,FR,11100
Ak8LBru+4fMqDeubUzbR4/FAsA==,FR,10886
BXgY/umqYk+P5YTkFwgh14TeyA==,FR,10869
B6YZE2Nvxj6GUJBQLxj7hjQEQw==,FR,10854
BPoV+gzyqic45tfnfScuD+gwKA==,FR,10494
CaO5YHqeXkuMca6qKMK/ufbB0A==,FR,10410
CRDL66knY+nfoLmOUusjQVcPOw==,FR,10109
BZKuA8VaaOYm9TOm6/GzW3DuJQ==,FR,9985
Ai8WemCMLr9YnRSSj7bjipEm8Q==,FR,9972
ANxujmYOWAYu21Pf0JJcQSU8eQ==,FR,9794
Cd0tLs7nfvLDJKQbol8ljxHLZQ==,FR,9560
CSKHcVrKZipr6+MbK1+nwrtBSg==,FR,9521
B/X1FjGDVtXdE96BvLeNfzP1BQ==,FR,9509
CrMclPIcKLkajpxKkBJg/EyU+g==,FR,9489
AdUCCfRv+DD/VGF2xIcMSuEHGg==,FR,9426
BuTw7lB0q/HDJb8V3pgLLwd4wg==,FR,9336
CUltc+cCgD5XtEYZ/hQ0li1fjQ==,FR,9164
CpVahDN/t7k04F60UGzWdUuMlg==,FR,8943
CeQdOuRckLKSej8C35/bxoT/tA==,FR,8718
BiYqJE5abb70Io7Wf+RFeZJRBQ==,FR,8697
AKe95jbUYZv99VP9yZ5Ffu5Kzw==,FR,8656
Cbvh5HHH4hRivWpKLry8nTCTCw==,FR,8583
BReHySlJVarI6jDQJAnAKO8USw==,FR,8427
CPllua2le/PhvRvgJmFd3mFdPw==,FR,8272
CqpKTqbUSnYQBHtTUJsNnedEWw==,FR,8197
ASZDA337vR84RxPKw7YfFyReSw==,FR,7899
AZHHp0c1MYQ9WwbZdxN0BV2DZg==,FR,7708
CKyZGFjy6TRyuL2efJAY1dBa6A==,FR,7635
ARhAPxfme8kW2EHWuqEGp+N1ZQ==,FR,7598
Ahlis/Q2Wr/zM9BgssRMsptOLw==,FR,7372
AtK4GjOwf2icSkmr6eQVcq8XFg==,FR,7176
BuRIJ6tJ/8euioVtHxDnt+piVw==,FR,7067
BBhH740pNZ2y/chQgvjDlgFQoQ==,FR,7055
B/UEgnmp4RDZtyhJWhOE6nevig==,FR,6688
CDybWiaoKCPgL6hT6K2J14/h7w==,FR,6679
BRCgiwfRnjlccztQjHu2LyQBhg==,FR,6658
BQNw5z2RHbM+GIL0jXvh5n99oA==,FR,6490
Bc+D8juYpeUVyG6Pvs4Yd2s3Xw==,FR,6442
AOXm9rSV0zCY7rxi2JK17XY5SQ==,FR,6404
BCgYY3pC5HnRMhU0/Bnlnskxyg==,FR,6255
ACfKOdd16jj94Cf00cx5gYhW2Q==,FR,6225
CVIXaztCClEc/Q+up87gxyfhig==,FR,6187
AyVZbv4I3NyllCi9ixHYNc0GWw==,FR,6140
CmNHmkCAmmIdGzmwjpQSnZGuTQ==,FR,6090
Av03R6OCF5+ZvbrcTvmpZvPbeg==,FR,6085
AS0d8sf67M0KvXqnL06xArZrAQ==,FR,6053
BtH8XNKnRhyf0K0+1RslKgOOzw==,FR,6048
CDfxalGxSkFPV7py0tfXL4JDaw==,FR,6028
Chj3s1lmV8gZGhBgluAdR9BZqg==,FR,5908
AH9io/UUkTRJdaXF+avTsywmYw==,FR,5893
AwE9t15qgmbPssAH9yxcJdUcXA==,FR,5786
A9DSkTTT8DfuHgJDx7M+K9uLkA==,FR,5712
CNsQ4NwLWtwUqCg67OLRcXKvkg==,FR,5688
BmbaxxWUPo6pHIo1dU2eUR/WGA==,FR,5655
CJppoNZrG7HEnjCq3QH+hiXSJQ==,FR,5443
BErJC/o0g0BhMkbvv6h20W9QAg==,FR,5401
Akco35PE11kLpKkNPMzuMOP4HQ==,FR,5355
BMRTdPZo3yhHuwpNOiQWl4JaFQ==,FR,5042
CCAPJZ5Dg6l/mdtakL3GA8Uu0Q==,FR,4913
Bl7H7uxSibQO5RGsMntHG3a86Q==,FR,4797
CIyZ9wQX6v7QNobv2KSDqfjk5Q==,FR,4796
CeS/WyvPPgObhqXCziQd+yQZcw==,FR,4790
ANaJzDnkzyeAbkGJI1xImS1+rA==,FR,4787
CrMclPIcKLkajpxKkBJg/EyU+g==,GB,5682
BWA2etFy2C9IyhbJmETK7+TRtA==,GB,4952
BwVUWbzGQlGdP4irk9hsQUDtiA==,GB,3564
BXgY/umqYk+P5YTkFwgh14TeyA==,GB,2738
B+38U0V2gd3HxXgPisZx8tRccA==,GB,2478
BjiKq+qLWDoFwVJvCiHDpH+bOg==,GB,2348
BReHySlJVarI6jDQJAnAKO8USw==,GB,2252
BPoV+gzyqic45tfnfScuD+gwKA==,GB,2084
AyVZbv4I3NyllCi9ixHYNc0GWw==,GB,1902
BuN1OQ9UPNkP2BB9I/CkCvowrQ==,GB,1902
CH79MKPZZnwvZGCkAb9/3vX8AQ==,GB,1775
BMx8MTshpfm43uUfguDs1RAGTA==,GB,1765
AS0d8sf67M0KvXqnL06xArZrAQ==,GB,1761
BBhH740pNZ2y/chQgvjDlgFQoQ==,GB,1741
AQCKU/4FGaBCAE68QKwqNktQGw==,GB,1702
CUIoM5Qip7ysoCrGb00ecQCYxQ==,GB,1568
BCgYY3pC5HnRMhU0/Bnlnskxyg==,GB,1487
ASmpfV917uWqDXtvJUeMfLWqSA==,GB,1461
ANR/yOuIDlpszF407Io8S+Bkmg==,GB,1443
Ak8LBru+4fMqDeubUzbR4/FAsA==,GB,1334
Cd0tLs7nfvLDJKQbol8ljxHLZQ==,GB,1275
CNsQ4NwLWtwUqCg67OLRcXKvkg==,GB,1273
Bxp+P3gF+xJ0SAyDZzwqbqd6yw==,GB,1272
CRDL66knY+nfoLmOUusjQVcPOw==,GB,1261
BmPKhPpe6HS11RdK77xlMpWUTw==,GB,1214
CqpKTqbUSnYQBHtTUJsNnedEWw==,GB,1140
CmNHmkCAmmIdGzmwjpQSnZGuTQ==,GB,1052
AVqM7OGwWyGHRaLL6EgpDc+j1g==,GB,1024
CB/A7fbijbjXoJwOrb8tTAu4FQ==,GB,1022
AF6o9rIzHB7wza22CpAFW0fMQg==,GB,1020
AWf6YD/4pWZ2FLafcDQyivi+sQ==,GT,2765
ASaww7jZUAMz5jn1erJVF5pjzQ==,GT,2311
ClRoS30Upin2E68Z3i8T3SFv5g==,GT,1888
CmBHFxVH6ugNJtqDl8ojsGV3lg==,GT,1310
CVAMETAvPK3c3GrNIZZgJux5Ug==,GT,1112
AV9Q+VaonlmoHQWERTm71Ln/gg==,IT,1144
AWf6YD/4pWZ2FLafcDQyivi+sQ==,MX,6183
ASaww7jZUAMz5jn1erJVF5pjzQ==,MX,4171
Cn/Zr/QPqPcXPWV//Qe2EGye1g==,MX,2753
B+38U0V2gd3HxXgPisZx8tRccA==,MX,2599
ClRoS30Upin2E68Z3i8T3SFv5g==,MX,2538
Cc5t6Gue+bCd+chi7GIWvYUQNg==,MX,2364
AyVZbv4I3NyllCi9ixHYNc0GWw==,MX,2277
BuN1OQ9UPNkP2BB9I/CkCvowrQ==,MX,2254
AnX6KA22LhSSRYMxuitqhs6rEg==,MX,2226
Bx2c8lgKOFeHCAuHDCJrAwiIPA==,MX,1958
CVAMETAvPK3c3GrNIZZgJux5Ug==,MX,1935
ASzkTMNaqBgPY6xq7T9j3uUg3Q==,MX,1797
CmBHFxVH6ugNJtqDl8ojsGV3lg==,MX,1780
AZMAqOPjdniYksZigPePaVRz/g==,MX,1763
AFNqtWTdux1p5C+Bnv+yW8yBFQ==,MX,1762
CoEFfwL6GayxjSvj1dw4FuL9jQ==,MX,1723
ALSgCdbdcSNPQrTJI3YC4sK6GA==,MX,1537
BaSjYqWM1KC9amnW7CHejj4aww==,MX,1487
CS9q0bIPoJOPltNqg6UfYKG/ng==,MX,1406
BQfBfH7d5/HUktG/BgXxZTSKeA==,MX,1259
BZHLOkIM8xLZrNlVD2NCO0q4Ag==,MX,1220
AZT6QE1OkLacQXFq6wIoHCdp5A==,MX,1217
BXqHVhYFJhgLK0awJ71e9Ddwaw==,MX,1207
AmxCjCvJruHZS9OxPskwQySqaA==,MX,1127
AAoKBgt8hThuWNSesr5XQqFQ5g==,MX,1115
BUeR0+IMAR+b2h9YseCQ7mrRnw==,MX,1091
BReHySlJVarI6jDQJAnAKO8USw==,MX,1067
AKlYlWcABFmDuOQD30qEP/xMUw==,MX,1036
Bm7/H2FXAjlN7KRCXqTb/BPFkQ==,MX,1028
Cbvh5HHH4hRivWpKLry8nTCTCw==,MX,1016
AZxQl+NpdrngkJv/gQeSTHCCzw==,NL,2427
BMx8MTshpfm43uUfguDs1RAGTA==,NL,1807
BKW2eoIsavGfQuuzHw9LX2rJxQ==,NL,1592
BWA2etFy2C9IyhbJmETK7+TRtA==,NL,1392
BTnORSOkr35Ff18Pm9iIPXvPog==,NL,1223
Ax5wzOoAbSMnf3cZ4E0jm0cJZQ==,NL,1179
A68KyCSY/gnMVsKom/XjciJh9g==,NL,1151
B+38U0V2gd3HxXgPisZx8tRccA==,NL,1106
A4RxmFX+DbmZgn5DDYE01BSoRg==,RS,4484
CjXNbS0KsPNZNiDBfVJzZ3d6Aw==,RS,1864
AQpLVVIMtSFu1ZizvSg9twGS+A==,RS,1636
CWfvA9/yosl1bm6VDCgsVvI1PA==,RS,1397
